Bicycle_Type,Bicycle_Frame,Bicycle_Color,Bicycle_Make,Bicycle_Value,cluster
REGULAR,UNISEX,BLACK,MARIN,700,cluster_6
HYBRID,WOMEN'S,BLACK,LOUG,700,cluster_0
HYBRID,WOMEN'S,BLACK,LOUG,700,cluster_0
HYBRID,UNISEX,GRAY,GIANT,1249.99,cluster_25
HYBRID,MEN'S,GRAY,NOT RECALLED,450,cluster_12
RACER,WOMEN'S,SILK,TREK,980,cluster_34
MOUNTAIN,MEN'S,BLACK,TREK,700,cluster_37
MOUNTAIN,MEN'S,BLACK,GT,1500,cluster_14
HYBRID,CHILD'S,BLACK,GIANT,750,cluster_17
MOUNTAIN,MEN'S,BLUE,CCM,300,cluster_7
HYBRID,WOMEN'S,BLUE,TREK,1250,cluster_21
RACER,MEN'S,GRAY,TREK,1000,cluster_16
MOUNTAIN,MEN'S,WHITE,TRIBAN,500,cluster_28
REGULAR,MEN'S,BLACK,TREK,1400,cluster_24
HYBRID,MEN'S,BLACK,INFINITY,349.99,cluster_31
REGULAR,MEN'S,BLACK,DIAMONDBACK,200,cluster_24
HYBRID,WOMEN'S,BLUE,GIANT,350,cluster_21
MOUNTAIN,WOMEN'S,BLUE,SUPERCYCLE,150,cluster_11
MOUNTAIN,MEN'S,BLUE,RALEIGH,760,cluster_7
MOUNTAIN,UNISEX,BLACK,UNKNOWN,700,cluster_13
REGULAR,WOMEN'S,BLACK,NORTHROCK,500,cluster_38
RACER,WOMEN'S,WHITE,DAVINCI,1200,cluster_34
HYBRID,MEN'S,BLACK,CCM,300,cluster_31
MOUNTAIN,MEN'S,BLACK,RALEIGH,600,cluster_37
MOUNTAIN,MEN'S,BLACK,NORC,2200,cluster_14
OTHER,MEN'S,GRAY,CCM,250,cluster_12
REGULAR,MEN'S,GRAY,CCM,250,cluster_29
REGULAR,WOMEN'S,GRAY,GIAN,595,cluster_38
MOUNTAIN,WOMEN'S,GRAY,GIAN,595,cluster_11
MOUNTAIN,WOMEN'S,BLACK,GIAN,850,cluster_11
REGULAR,WOMEN'S,BLACK,GIAN,850,cluster_38
REGULAR,WOMEN'S,GREEN,CCM,250,cluster_38
MOUNTAIN,MEN'S,RED,UNKNOWN,800,cluster_8
OTHER,MEN'S,BEIGE,CCM,150,cluster_5
MOUNTAIN,MEN'S,BLACK,RIVERSIDE,330,cluster_37
MOUNTAIN,MEN'S,BLACK,RALLY,600,cluster_37
MOUNTAIN,MEN'S,BLACK,SPEC,200,cluster_37
MOUNTAIN,MEN'S,BLACK,RALLY,600,cluster_37
MOUNTAIN,MEN'S,BLUE,UNKNOWN,100,cluster_7
HYBRID,WOMEN'S,GRAY,CCM,500,cluster_21
MOUNTAIN,MEN'S,GREEN,JAMIS,400,cluster_8
HYBRID,WOMEN'S,SILK,CANNODALE,3000,cluster_36
REGULAR,MEN'S,BLACK,CCM,400,cluster_24
HYBRID,WOMEN'S,SILK,CANNODALE,3000,cluster_36
HYBRID,WOMEN'S,BLACK,CCM,674.99,cluster_0
HYBRID,WOMEN'S,SILK,CANNODALE,3000,cluster_36
MOUNTAIN,WOMEN'S,BLACK,DEVINCI,670,cluster_11
RACER,MEN'S,GREEN,CANNONDALE,2800,cluster_39
REGULAR,MEN'S,BLACK,GARY FISHER,400,cluster_24
HYBRID,MEN'S,BLACK,GARY FISHER,400,cluster_31
MOUNTAIN,UNISEX,BLUE,SUPERCYCLE,230,cluster_2
MOUNTAIN,UNISEX,BLUE,SUPERCYCLE,230,cluster_2
MOUNTAIN,MEN'S,BLACK,NORTHROCK,500,cluster_37
MOUNTAIN,MEN'S,BLACK,SCHWINN,700,cluster_37
MOUNTAIN,UNISEX,BLUE,UNKNOWN,400,cluster_2
MOUNTAIN,UNISEX,BLUE,SHIMANO,150,cluster_2
MOUNTAIN,MEN'S,BLACK,BCA 29',150,cluster_37
MOUNTAIN,MEN'S,BLACK,SUPE,300,cluster_37
MOUNTAIN,MEN'S,BLACK,SUPE,300,cluster_37
MOUNTAIN,WOMEN'S,BLUE,UNKNOWN,250,cluster_11
HYBRID,WOMEN'S,BLUE,UNKNOWN,250,cluster_21
MOUNTAIN,MEN'S,GRAY,CANNONDALE,1500,cluster_14
MOUNTAIN,WOMEN'S,WHITE,UNKNOWN,250,cluster_28
HYBRID,WOMEN'S,WHITE,UNKNOWN,250,cluster_21
REGULAR,UNISEX,BLACK,MARIN,600,cluster_6
OTHER,UNISEX,BLACK,MARIN,600,cluster_32
HYBRID,MEN'S,BLACK,RALEIGH,750,cluster_31
HYBRID,MEN'S,BLACK,KONA,1000,cluster_17
MOUNTAIN,UNISEX,BLACK,FUJI,700,cluster_13
MOUNTAIN,UNISEX,BLACK,FUJI,700,cluster_13
REGULAR,UNISEX,BLUE,MEC,1000,cluster_6
MOUNTAIN,UNISEX,BLUE,MEC,1000,cluster_2
HYBRID,WOMEN'S,GRAY,CARRERA,300,cluster_21
OTHER,MEN'S,WHITE,MARIN,250,cluster_5
HYBRID,MEN'S,BLACK,GIANT,1500,cluster_17
HYBRID,MEN'S,BLACK,GIANT,1500,cluster_17
HYBRID,MEN'S,BLUE,RIDLEY,1000,cluster_35
MOUNTAIN,MEN'S,GRAY,FUJI,700,cluster_12
RACER,WOMEN'S,WHITE,GIAN,2000,cluster_34
RACER,WOMEN'S,BLACK,BLADE RESPONSE,500,cluster_18
RACER,UNISEX,GREEN,UNKNOWN,170,cluster_27
OTHER,MEN'S,BLACK,REGAL BICYCLES,800,cluster_5
MOUNTAIN,MEN'S,BLACK,NORCO,1400,cluster_14
MOUNTAIN,WOMEN'S,SILVER,GIANT,1000,cluster_11
MOUNTAIN,WOMEN'S,PINK,SCHW,300,cluster_11
RACER,WOMEN'S,PINK,SCHW,300,cluster_18
MOUNTAIN,MEN'S,RED,SCHW,800,cluster_8
MOUNTAIN,MEN'S,RED,SCHW,800,cluster_8
MOUNTAIN,MEN'S,RED,SCHW,800,cluster_8
RACER,MEN'S,WHITE,SCOTT,1200,cluster_16
MOUNTAIN,MEN'S,BLACK,RALEIGH,600,cluster_37
MOUNTAIN,UNISEX,BLUE,SUPERCYCLE,200,cluster_2
MOUNTAIN,MEN'S,GRAY,RALE,632,cluster_12
MOUNTAIN,MEN'S,GRAY,RALE,632,cluster_12
HYBRID,MEN'S,RED,CCM,250,cluster_30
OTHER,UNISEX,BLACK,UNKNOWN,500,cluster_32
