X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,string in numeric
-8423598.977,5688524.77,2022,2022/09/15 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,420,DIADORA,N/A,MOUNTAIN,MEN'S,GREEN,Sandy Hill,September,Found
-8423482.066,5690209.305,2022,2022/09/09 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,500,GIANT SUECLE,N/A,HYBRID,WOMEN'S,GREEN,Vanier North,September,Found
-8423482.066,5690209.305,2022,2022/09/09 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,500,GIANT SUECLE,N/A,HYBRID,WOMEN'S,GREEN,Vanier North,September,Found
-8430990.332,5679885.675,2022,2022/09/15 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,600,TREK,N/A,HYBRID,MEN'S,BLUE,Centretown,September,Found
-8430990.332,5679885.675,2022,2022/09/15 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,600,TREK,N/A,HYBRID,MEN'S,BLUE,Civic Hospital-Central Park,September,Found
-8422984.65,5685206.211,2022,2022/09/16 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,550,B'TWINN,RIVERSIDE 500 R,HYBRID,MEN'S,GRAY,Civic Hospital-Central Park,September,Found
-8430990.332,5679885.675,2022,2022/09/15 00:00:00+00,Thursday,SCHOOLS DURING SUPERVISED ACTIVITY,STOLEN,600,DEVINCI,N/A,HYBRID,WOMEN'S,GRAY BLUE,Civic Hospital-Central Park,September,Found
-8430990.332,5679885.675,2022,2022/09/15 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,600,DEVINCI,N/A,HYBRID,WOMEN'S,GRAY BLUE,Civic Hospital-Central Park,September,Found
-8446752.14,5668193.301,2022,2022/09/09 00:00:00+00,Friday,PRIVATE PROPERTY STRUCTURE,STOLEN,300,UNKNOWN,N/A,OTHER,MEN'S,RED,Glen Cairn - Kanata South Business Park,September,Found
-8426977.237,5687973.936,2022,2022/09/16 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,1200,DEVINCI,ST TROPEZ,HYBRID,WOMEN'S,WHITE,Riverview,September,Found
-8426418.431,5682956.099,2022,2022/09/15 00:00:00+00,Thursday,SCHOOLS DURING NOT SUPERVISED ACTIVITY,STOLEN,500,ROCM,N/A,MOUNTAIN,MEN'S,DARK GREEN,Centretown,September,Found
-8422519.443,5690287.784,2022,2022/09/15 00:00:00+00,Thursday,"STREETS, ROADS, HIGHWAYS",STOLEN,1000,OPUS,IVAN,HYBRID,MEN'S,GRAY,Glebe - Dows Lake,September,Found
,,,,,,,,,,,,,,,
-8426282.185,5689489.895,2022,2022/09/13 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,4500,GIANT,ANTHEM AVANCED,MOUNTAIN,MEN'S,ORANGE,Carleton University,September,Found
-8425582.836,5686176.145,2022,2022/07/09 00:00:00+00,Saturday,OTHER NON COMMERCIAL/CORPORATE PLACES/ GOVT BLDG,STOLEN,800,KHS,MOUNTAINBIKE,HYBRID,UNISEX,YELLOW,Vanier South,July,Found
-8425560.516,5689274.443,2022,2022/09/12 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,3900,CANNONDALE,TOP STONE,MOUNTAIN,MEN'S,BEIGE,Glebe - Dows Lake,September,Found
