X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,Diff_Rep_Occu,Brand_Popularity,Range_Price,Weekend_or_WeekDay
-8423946.385,5687969.952,2019,2019/09/02 00:00:00+00,Wednesday,DWELLING UNIT,RECOVERED,531,SOLOROCK,TOURING,UNISEX,BLACK,Sandy Hill,September,0,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8421780.515,5688434.403,2019,2019/04/15 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,300,SCHWINN,MOUNTAIN,MEN'S,ORANGE,Overbrook - McArthur,April,3,LESS-RECOGNIZED,VERY LOW PRICE,Week_Day
-8423946.385,5687969.952,2019,2019/09/02 00:00:00+00,Wednesday,DWELLING UNIT,STOLEN,700,DEVINCI,MOUNTAIN,MEN'S,BLACK,Sandy Hill,September,1,FAIRLY RECOGNIZED,LOW PRICE,Week_Day
-8421780.515,5688434.403,2019,2019/04/15 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,150,RALEIGH,REGULAR,UNISEX,BLACK,Glebe - Dows Lake,April,1,FAIRLY RECOGNIZED,VERY LOW PRICE,Week_Day
-8443906.779,5668536.827,2019,2019/09/04 00:00:00+00,Wednesday,SCHOOLS DURING NOT SUPERVISED ACTIVITY,STOLEN,450,NORTHROCK,MOUNTAIN,UNISEX,BLACK,Sandy Hill,September,12,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8427364.239,5685346.543,2019,2019/04/13 00:00:00+00,Monday,DWELLING UNIT,STOLEN,600,TREK,MOUNTAIN,MEN'S,BLUE,Overbrook - McArthur,April,1,Well-Known,LOW PRICE,Week_Day
-8423598.977,5688524.77,2019,2019/09/03 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,619,SPECIALIZED,HYBRID,WOMEN'S,GREEN,Bridlewood - Emerald Meadows,September,0,Well-Known,LOW PRICE,Week_Day
-8430442.451,5684071.094,2019,2019/04/15 00:00:00+00,Monday,SCHOOLS DURING NOT SUPERVISED ACTIVITY,STOLEN,750,LOUG,MOUNTAIN,MEN'S,GRAY,Island Park - Wellington Village,April,0,LESS-RECOGNIZED,LOW PRICE,Week_Day
-8426308.907,5688401.936,2019,2019/09/03 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",STOLEN,675,TREK,HYBRID,WOMEN'S,BLACK,Fallingbrook,September,82,Well-Known,LOW PRICE,Week_Day
-8422115.858,5679206.978,2019,2019/04/09 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",STOLEN,1000,KONA,MOUNTAIN,MEN'S,ORANGE,Ledbury - Heron Gate - Ridgemont,April,2,Well-Known,LOW PRICE,Week_Day
